Employment_Sector;Education_Level;Years_at_Residence;Income_Fluctuations;Cash_Flow_Stability;Recurring_Expenses;Utility_Payments_On_Time;Rental_History_On_Time;Subscription_Payments;Spending_Patterns;Real_Time_Transactions;E_Commerce_Activity;Local_Job_Market_Stability;Inflation_Impact;Economic_Downturn_Resilience
Healthcare;Master's;9;0,40948872;3882,974779;33,88880575;72,51412419;84,48956237;86,77391942;42,63060882;6;3490,371692;4,795293402;2,300281269;0,594275978
Finance;Bachelor's;18;1,46975619;1529,124842;60,88118079;76,55547482;97,27474303;99,60373823;62,91582533;0;1939,760843;4,659716986;3,096749909;1,082869361
Healthcare;High School;12;1,147468668;4803,44042;76,41099148;87,28588331;81,6060061;81,4573417;80,55226278;8;799,5662251;4,359603501;9,149405297;0,551662176
Finance;Bachelor's;8;0,880938516;1166,800677;22,8071507;91,29704596;71,76463621;68,51465332;42,75113049;7;1990,747468;2,181762269;1,3320396;0,836926875
Education;Master's;8;0,352832437;3557,974672;39,17912332;84,82807011;76,25769471;61,30757999;33,19045436;7;2899,839101;12,03347109;2,978206408;1,253199702
Tech;High School;18;0,17540149;1512,005976;46,290603;96,20364944;59,98144038;93,64151171;11,16120756;6;4740,266409;13,37544891;3,78612417;0,794348167
Finance;Bachelor's;28;0,548083766;2441,212919;73,95562154;91,01620441;87,52720819;90,72826061;55,98712303;4;343,7547604;9,984115134;6,551956648;1,263308077
Healthcare;PhD;20;1,15446227;3736,219536;77,7356868;78,09318949;87,3209915;61,69614104;42,18198139;2;2536,970469;4,446599762;5,806915211;1,245467038
Education;High School;15;0,477063818;3034,960889;46,64691479;83,57030363;57,27586502;60,03160451;39,97193752;8;1644,598891;5,70861396;2,964425346;0,745827133
Finance;Bachelor's;27;0,855378709;2423,758241;65,00170473;96,31541385;93,89891912;85,75683884;24,6348257;6;2541,558471;8,187047066;2,478169605;1,22882218
Tech;Master's;7;1,119126047;1968,522939;51,89966143;80,95840221;63,45948697;65,7476031;44,40442762;9;119,8772369;14,40649737;3,131182311;1,247776638
Tech;Master's;11;0,251121201;4278,468451;52,26697608;91,2403474;99,11280305;65,31993992;88,75535629;9;1565,126774;5,215567834;5,52276664;0,897453926
Retail;High School;20;1,059417223;1147,164576;36,6859709;84,44052518;69,1451507;57,61451235;33,82033229;7;4099,340738;11,51139675;3,440600071;0,710420484
Retail;Bachelor's;16;0,228619243;2435,462944;33,01737475;77,59681805;58,89420294;63,19877599;57,97635307;5;2769,708669;7,712826903;9,528422514;1,021270807
Healthcare;High School;4;1,451181639;4566,909073;37,28032076;62,09190977;67,58600557;71,37537788;72,11895051;4;2252,912464;5,872015529;5,174786993;1,421397588
Finance;High School;6;0,783751782;4306,322977;53,37968044;71,29987597;72,00901643;86,64191686;69,93262585;7;1427,625359;7,926907181;1,529164149;1,139616732
Finance;Bachelor's;26;0,310946551;2304,237931;21,74931116;98,38714124;53,46538865;66,81540472;36,301943;2;1490,212614;2,925687328;7,563397653;0,672922498
Retail;Bachelor's;22;0,57933709;3933,987636;74,43493666;82,88826916;78,91091906;66,43021697;58,86880668;6;1915,507168;12,38293582;3,959607594;1,182756925
Finance;PhD;26;0,678783029;4204,223738;29,37702257;78,21976902;79,88162199;64,24566263;79,70117482;1;4177,85355;5,162925064;6,881400389;0,927203027
Finance;Bachelor's;3;1,161459016;4499,993408;33,20532061;96,64783128;86,94652277;73,91418338;11,23579422;2;4836,066034;11,4303576;3,516349335;1,091528797
Tech;Master's;9;1,140793301;2950,275961;51,09657059;79,32558905;51,45849461;59,0318349;44,85874855;1;2193,276907;2,888528829;6,136693676;1,234064035
Retail;High School;28;0,956716707;1420,073987;62,60688598;76,30412592;77,06191072;74,2815367;27,94187346;4;1966,764194;14,41628123;7,949372543;1,014947352
Education;High School;10;0,248302998;1648,890844;25,74374328;87,96554276;52,64537166;85,20877781;41,09058323;6;4232,753879;4,50919481;9,352078676;1,313983975
Retail;Master's;14;0,31219712;1830,626033;39,06168185;85,63328095;85,057211;51,4895252;43,27916864;9;2134,526603;13,47564699;3,3501443;1,222155579
Education;Bachelor's;11;0,231259689;3172,111164;78,12047633;59,65800042;52,78639929;50,48896902;69,73367718;9;2760,090861;12,52315173;4,013712559;1,11507334
Tech;Master's;18;0,908041897;647,6433086;35,74057801;73,56541373;95,58639242;53,75614551;17,50574979;0;1154,708323;14,58217901;5,178397783;0,650792816
Healthcare;Master's;22;1,327993818;3362,19111;38,7830087;73,62577214;85,10412834;76,78300309;51,00671225;9;3717,512679;8,212578592;9,34457354;1,335949111
Finance;PhD;12;0,707320717;2139,594073;70,18990944;68,91122576;75,36948825;92,72275416;55,13558334;8;2659,941591;11,45616482;9,112481711;1,435905585
Tech;Master's;23;0,325187444;1828,588111;23,0128659;75,86467411;72,07519616;50,2442233;49,53260828;0;4045,172751;6,819238541;1,808904521;0,636965124
Finance;High School;12;0,881259255;4457,734568;47,87679013;70,65536989;56,53363152;96,83306523;68,54986025;0;3903,66365;4,396787094;2,187368432;0,988241129
Healthcare;Master's;13;1,236453104;2570,01078;42,77700587;59,96727447;64,54996948;55,31392558;40,70330047;9;1075,023841;7,759987128;5,459582596;0,758888742
Healthcare;High School;25;1,138396886;927,7387049;38,99520559;70,61832436;93,44795525;92,0991764;85,59736509;7;3578,177753;4,1547372;1,959573455;1,254523307
Tech;High School;13;1,334031092;4220,360456;37,14197564;53,61384738;95,22264058;74,14273825;48,5442754;5;4000,27204;14,7665801;4,11022786;1,221629636
Healthcare;High School;19;0,489062936;714,3856585;25,48244629;78,78929314;50,03738542;82,96786936;55,69711277;5;1730,536204;3,251204385;2,335468404;0,640885121
Education;Bachelor's;26;0,371535414;3770,371509;38,88954976;92,68272745;79,70681957;75,53414922;76,04246587;8;863,0455645;9,659752405;6,724363196;1,377027271
Healthcare;PhD;19;1,33174308;3982,577998;22,58314416;86,26435422;85,96503045;73,85241126;32,01888847;3;13,1607779;10,14403012;9,545458886;0,680973064
Finance;High School;23;1,020584438;2086,711727;66,85783182;68,019702;80,93734912;91,74497142;16,0161623;7;2254,518265;8,995034057;9,970603933;1,297259026
Finance;High School;14;0,535300502;4211,545353;43,89366764;54,35356028;54,08398824;87,79431898;66,62271827;3;1762,163658;10,60841651;4,377170192;0,95698036
Finance;Bachelor's;4;1,139287271;2820,467326;46,63422994;60,10746996;60,88624494;74,17011183;48,64094844;1;2774,549169;3,510350075;6,391113734;0,828272294
Finance;High School;13;1,241165738;2584,82144;73,61567519;77,27451702;62,51701337;55,58179647;81,72034008;7;940,2054629;9,215240815;8,706408882;0,658239263
Education;Master's;8;0,960969536;704,3147666;59,48329903;60,35285417;91,58623157;55,77014797;88,6144039;6;4298,327738;5,733763425;2,057158655;0,667614256
Retail;Master's;29;1,063037754;1805,131371;20,4835462;77,19865556;73,15997182;90,07697304;41,92874805;3;1288,776078;14,22228882;7,206079699;1,161890555
Tech;PhD;23;0,625363866;4689,544869;76,59048938;61,57995124;74,3414106;76,46953107;43,2351213;8;1132,148025;11,90693149;4,679592956;1,050430388
Finance;High School;21;0,854173934;2263,207835;34,22866796;92,44619347;96,74465233;74,07945701;42,63700818;8;2403,570282;14,64268827;2,855315443;0,622085422
Healthcare;Bachelor's;23;0,833822839;2960,152343;26,45685109;69,86357364;81,85429444;84,02834207;35,96432878;7;2494,255119;2,488228907;4,624782569;0,61269786
Finance;Master's;19;1,287266908;2894,097555;66,0876907;62,2775313;94,93338508;92,94207917;72,53496782;0;1075,426144;5,706731277;1,683642583;0,572310575
Healthcare;Bachelor's;12;1,275949572;3156,939904;50,02863895;90,61630901;72,82544277;81,44365722;70,719661;6;1359,303634;4,540493626;7,258664337;1,243767347
Healthcare;Bachelor's;18;1,265752657;775,9893004;46,02623396;67,14194824;57,47181293;88,14239512;48,29158964;4;848,5261958;2,145009635;3,274684019;1,211882085
Finance;Master's;6;0,11544426;2129,793147;34,97018478;55,57438439;96,4967797;88,26352621;13,57289731;6;3592,300892;5,150234493;3,802650805;0,558430991
Education;Bachelor's;18;1,149363678;3754,077232;52,84828939;78,52047457;72,93525578;67,81307244;34,76474412;8;3850,445156;10,82408779;2,089731684;1,060270076
Healthcare;Master's;19;1,162146946;1402,52113;36,46307631;79,07821022;59,08157109;63,70415978;33,38424372;1;2311,642487;5,004155988;8,781932025;0,584676155
Healthcare;Bachelor's;22;1,049730352;1416,102699;74,09498032;85,73478376;65,11978702;90,05820336;74,8869797;3;3570,435113;8,617044791;5,440998514;1,403745771
Finance;Master's;5;1,158770521;545,4077301;32,91226878;62,01097166;52,54012948;68,85893959;17,00604587;3;3679,67696;13,54163549;6,1493219;1,407117419
Healthcare;High School;24;1,27875852;2468,66867;73,06130903;72,18856695;73,41502957;95,16680033;74,45403032;1;691,3776384;11,01885296;6,124894148;1,19823299
Healthcare;PhD;9;0,758446676;4472,304713;53,56432554;64,11839595;92,6564086;53,48453484;63,53469218;2;4830,890124;7,130177909;4,694438031;1,426188921
Finance;Master's;27;0,802870299;733,5542461;69,70928803;54,04768681;96,6790228;52,9108756;68,59531673;7;4105,159735;6,842096206;2,732769239;1,31145303
Finance;Master's;3;0,27459968;1360,034193;62,77075975;93,83069135;96,63011038;96,35020801;44,57705501;8;1022,417306;7,924565582;7,706194736;1,328538576
Tech;PhD;28;0,639526236;1895,380423;61,80170669;86,44349022;56,26150128;82,42274571;64,37806368;5;930,8251787;4,301538734;2,143506388;1,069707851
Education;Master's;10;1,000711252;3792,761315;39,46074846;65,07315297;69,10269413;68,97996782;58,72231558;9;628,3057279;10,24200998;1,934864113;0,806059198
Education;Master's;19;1,192559687;3382,860168;34,03381589;79,96864964;51,41143798;87,75302074;71,51841562;1;691,8928127;6,733986648;7,391305338;0,717799115
Healthcare;Bachelor's;3;0,404092737;2371,747571;32,65317366;60,06318941;92,75826725;83,6163405;45,74158676;1;3740,808995;13,08074954;2,879533184;0,827200022
Education;PhD;29;0,292952059;3915,810227;71,43149942;94,51183109;67,9377881;76,56005234;47,82604999;6;2348,271285;11,83518458;3,760954762;1,12849543
Healthcare;High School;29;1,028258806;3243,339552;69,22560922;55,74531717;81,55585139;54,94366713;61,48609782;7;3914,670864;9,936671133;5,277047203;0,672656536
Tech;Master's;22;0,102631837;4532,183598;46,43441168;50,19185728;85,7449219;90,60897936;18,64619949;7;3731,274472;6,734628894;5,044161851;0,758640237
Finance;PhD;15;0,349721618;4181,120371;27,94427681;75,10040989;71,49223349;93,30115953;44,89955587;5;3023,063568;4,729113812;7,377212126;0,968060863
Finance;Bachelor's;1;0,140699932;1637,661227;42,93513512;79,15639117;65,32211683;58,60843443;87,75606762;9;3431,833033;12,08997423;6,610886141;0,733050099
Finance;High School;7;0,333639165;1721,473599;57,16060725;78,94826601;98,11064551;92,5255826;13,0041856;7;91,7786219;8,323318287;6,799565461;1,08864367
Education;PhD;12;0,353846992;1064,104141;47,26418927;52,72559637;98,22441125;93,89236555;35,28037783;0;1558,888234;4,921750496;7,426488976;1,423176028
Tech;High School;17;0,642743033;2016,341266;66,81135611;65,70219035;64,4718184;77,47143061;35,12878553;8;3189,110896;4,537269996;3,633514547;1,248089366
Education;High School;21;0,663257975;4997,947634;79,85736934;74,95994734;73,98125484;82,80895181;60,67712954;0;46,72476743;4,150211759;3,900999806;1,166426614
Education;High School;26;1,323967459;2325,880259;31,46792531;60,82895928;98,64220793;69,111866;18,46402875;2;164,8847184;12,10309555;4,941979731;1,082721476
Tech;Master's;29;0,814153597;1492,197956;47,57904918;93,63129427;50,24342038;64,08958238;60,28352247;8;4259,439912;4,976833409;3,767159557;0,987947909
Tech;Master's;24;1,112766672;3931,17298;45,85903412;54,35546447;70,63391242;86,09915735;17,60321925;4;3420,124308;8,846349426;9,864440821;0,68656386
Tech;Bachelor's;20;0,245792301;2941,119516;38,26955196;74,36922208;55,02287748;93,09375745;17,59629179;8;1326,848666;7,870102693;8,326467338;1,394710455
Tech;Bachelor's;5;0,415614258;1173,206523;31,885731;84,57080288;75,45789828;82,70387765;68,25466858;8;3439,814201;9,53494169;2,481892194;0,748536002
Finance;PhD;4;1,084120817;2213,103565;23,94152699;63,08755501;51,23349773;75,57953053;35,93081391;5;3962,283346;13,4030137;1,050347403;0,591308878
Retail;Bachelor's;28;0,173925545;2365,11372;73,22715903;81,21203685;70,34492157;57,94623834;88,19383582;0;1533,971416;13,28071607;1,385049414;1,250015179
Retail;High School;12;0,781236727;3892,233653;45,19092186;91,46925751;61,03495374;52,67293563;12,98823491;9;180,1868875;7,863988934;3,196571059;0,675615534
Tech;High School;20;0,939116552;593,02116;49,81373111;59,51684875;76,66541812;72,28458951;45,6085331;6;4663,895623;2,19976126;2,028621573;0,871896
Retail;Master's;28;0,943003902;1710,588411;75,01652289;95,86102959;99,79968246;52,46747818;19,05087501;5;1725,899191;7,543769474;5,800043034;0,528284928
Retail;High School;24;0,132105936;2829,183356;66,57742865;77,67792663;90,02680526;78,4667316;38,11031734;8;532,4088164;9,880515987;8,721957005;0,637067943
Tech;PhD;18;0,550951206;1709,810341;27,83007585;64,96160022;92,28210458;69,13645957;89,85779605;6;2459,284357;9,250941868;7,630751988;0,673203631
Retail;High School;17;0,991086911;3327,953213;53,92519806;71,54291377;81,76324937;87,85945598;81,10740094;3;3842,338978;10,46736938;2,940481568;0,554410128
Education;High School;19;0,308599631;2668,403657;46,53513659;65,60959419;52,07799241;65,28242484;13,86595271;6;1108,236573;4,002984522;4,593693304;1,156656957
Healthcare;PhD;9;1,073581908;2127,696147;67,83266435;86,255558;60,3398838;79,64913505;55,06046751;1;1347,450251;10,40495628;5,571047886;1,337007796
Healthcare;Bachelor's;4;1,144295292;4771,438821;63,45395286;89,81503317;96,25322782;76,88417609;61,82578439;5;1213,574934;4,374471044;8,291852646;0,873315406
Tech;Bachelor's;26;1,474756867;3344,717746;61,42434331;91,64686962;68,3056559;50,23562128;26,76276992;5;4958,365264;11,75681175;8,552094428;1,374576477
Finance;PhD;21;0,393778793;1084,736175;40,43269013;99,28841248;55,18183632;53,61946991;21,60844587;1;987,0186687;6,408138972;9,187464807;0,713346575
Tech;Master's;2;1,255182935;3020,412638;68,29782382;89,56421462;85,12026829;64,51841062;82,35049077;3;2877,601085;11,22864063;5,583207255;0,825390424
Finance;High School;4;0,828415208;4013,293339;23,14347774;80,06920353;64,9728862;94,11175405;87,50531532;7;4626,323208;2,622252786;7,248472718;0,650736993
Healthcare;PhD;2;0,622847635;3688,203639;29,57749409;66,96101492;63,44284565;57,35074774;89,35142859;7;734,4828444;7,302180333;2,006203341;1,120559195
Tech;High School;15;0,27132746;1274,401532;40,13739638;77,22977244;99,89887278;85,54471652;73,1809419;7;4854,270989;11,16544879;6,08760064;0,919869591
Education;Master's;2;1,129707849;4875,889996;24,60844646;52,05340864;92,90694625;98,66832831;63,08016555;7;4737,386172;4,949316712;3,238226285;1,113283347
Retail;High School;4;0,430200639;2519,661406;34,09965665;87,24125378;70,39689092;89,52837763;37,65842018;0;4422,859935;12,33873158;4,885451965;1,261674905
Finance;PhD;6;0,619990803;1215,612517;69,80905898;72,29777725;99,01306039;62,14726808;23,71186499;1;1072,782607;10,20013653;6,706454575;1,045703016
Retail;High School;7;0,187559118;1310,880894;76,89509227;51,00116149;82,50566117;95,41826302;16,31844795;3;3170,27528;9,638303038;3,312873441;1,127630355
Retail;Bachelor's;10;1,221913682;942,0574649;38,27614135;53,12534708;87,10112259;54,65535783;65,46379748;8;3804,457365;6,596135105;1,46966552;1,435250314
Tech;Master's;19;1,173223934;4115,831488;35,87094824;69,37332319;51,57565215;73,40709709;72,77787321;2;4930,139641;8,271869115;1,092104708;0,79906431
Retail;Master's;19;1,127062162;1049,137224;36,79355913;79,17107595;56,08026297;94,37709539;76,1162922;5;902,1191104;9,765540913;1,19943582;0,859163939
Education;Master's;26;0,519220915;1063,063657;36,66314524;73,21019745;81,65425632;82,06328546;83,10120026;6;3830,129498;8,142007481;1,075147638;1,217703362
Retail;PhD;22;0,342872104;4327,122266;22,15581093;80,96021586;94,95119913;70,68222824;80,39436509;7;1694,00585;11,07807321;1,993195509;1,111305517
Tech;Master's;29;0,99257457;2050,71838;75,61498078;74,01471294;81,1871863;64,64064334;89,97930178;6;878,1323278;7,63806013;3,155398431;0,678532905
Education;Bachelor's;12;0,794632938;638,8605694;32,82188849;83,08519227;56,70124472;68,75497027;29,52512088;2;2106,884706;4,629551363;2,990993628;0,87614731
Healthcare;PhD;3;0,349553454;733,5288478;45,20024444;60,95630323;55,78800231;75,44708905;71,06460922;5;3969,179561;4,781139176;9,881169348;0,967838013
Retail;Bachelor's;13;1,060275779;1139,76701;20,58121296;55,64215936;92,20929479;65,95219649;56,91676099;4;2324,249019;2,075448995;3,754054947;0,919389838
Tech;High School;18;1,487577005;1460,270066;71,47730545;79,82169773;56,96511694;98,4483931;30,8996106;9;2687,615501;5,912450302;2,14678705;0,678274808
Healthcare;High School;8;1,146107423;3493,157874;63,86944067;74,23447585;76,01159803;96,65388265;88,55242578;3;4975,797051;11,73592933;5,910062898;1,424430092
Healthcare;High School;21;1,135980941;1207,96826;76,80536211;51,3433827;51,855666;93,53357341;81,83184838;0;1995,546498;12,32411521;8,721617099;1,262318762
Finance;High School;15;1,430437854;1034,93476;66,89692875;69,02409427;54,03348837;71,09149178;20,28125348;6;3077,003774;4,632078047;7,102543391;0,981355832
Education;Bachelor's;1;0,384110915;3941,236137;38,82239072;55,30627927;83,61741338;84,56508847;12,09266739;7;1826,221008;14,46757196;3,664738802;1,180061028
Retail;PhD;3;0,891769951;3519,748777;34,87240152;76,56784159;84,45907052;95,14146535;65,06646099;1;1963,928232;8,531236315;6,054545438;1,397282672
Tech;PhD;26;1,471505401;2458,958997;61,86297845;69,78888398;67,07347033;92,52147438;58,33045031;6;3478,203767;13,92072374;7,433703768;0,636174142
Finance;Master's;8;0,331411755;2971,893972;41,8467665;80,65759556;60,78048826;70,7163507;84,86524993;5;4689,43488;11,18794866;7,552940431;0,750373051
Education;Bachelor's;4;1,080352743;1903,928091;53,97290095;90,28011094;90,68551354;55,61930247;28,72042297;4;2711,794752;11,3916345;6,998846098;1,042701247
Finance;High School;16;0,920134204;2671,251891;20,37544826;64,98343419;60,85516147;53,78151819;16,75103583;3;3841,999645;3,105567077;8,837293823;1,299010371
Education;Bachelor's;23;0,921070729;2780,02692;23,7131421;98,10510521;77,10135348;78,85320226;30,7372267;1;446,0327941;4,85988465;8,830949125;0,536254895
Education;Master's;10;1,076738879;2242,56772;52,12207647;76,78172503;98,41044204;82,13139676;11,51421124;9;1055,790187;2,114592833;6,210429035;1,48401815
Retail;Master's;12;1,401463692;4579,574948;53,96429879;80,91453994;57,39262189;92,49213023;12,8714201;5;2510,658205;11,30965933;4,868707322;0,954906603
Education;Bachelor's;14;1,195614716;572,2783924;65,08717667;84,03361866;97,04381337;64,62575102;83,18862447;4;100,0586181;6,47769775;6,77413266;0,859231141
Finance;Bachelor's;14;0,178590545;4019,770684;27,91791918;83,33657649;59,14465265;58,37352453;38,1613266;1;1264,274894;12,22648271;8,363908012;0,792724438
Education;Bachelor's;2;1,293819228;1059,722741;50,79098503;75,54853715;78,3721604;68,95029166;42,86472008;9;2587,006449;6,406170859;1,050868944;0,674356708
Retail;PhD;23;0,415757862;4088,963122;31,66685867;71,43821456;68,8503856;67,67875618;11,46973236;6;74,80599128;12,65133878;9,927973081;1,291573909
Retail;High School;5;0,627679831;3271,603621;25,59176717;52,68909821;98,24643008;56,6234477;31,64174241;5;1322,731431;3,699077299;2,646043951;1,455414165
Finance;Bachelor's;5;0,746425939;4294,751409;44,62974764;51,10429227;63,67710145;83,61413263;74,3780787;8;2570,154097;4,253851038;5,232240871;0,913644755
Healthcare;Bachelor's;6;0,773268401;938,8144654;29,80019889;67,89805973;69,9829001;75,43459704;59,23927677;9;2865,74624;6,431395015;8,848267614;1,452420695
Healthcare;Bachelor's;13;0,709252559;3015,412853;33,30691869;66,68304453;99,14300589;86,05613781;70,30244809;4;4628,758465;7,310336055;3,025363591;1,323797615
Education;Master's;9;1,412294612;2754,895461;39,05327479;69,38475774;76,82351956;67,63455601;45,77709926;8;3226,728116;6,533136541;5,291157015;0,981051127
Tech;Master's;22;1,088426611;3677,869323;35,56330404;56,91841004;75,13150578;66,28511058;34,77833774;8;2073,679013;11,92741142;2,193239622;1,174026179
Education;PhD;28;0,983638904;2904,307484;25,25547784;86,90841353;62,88892441;73,62879265;48,62480747;0;4651,755886;3,260368104;4,555686928;0,934984179
Finance;High School;29;0,169778839;2933,305552;25,39497469;92,84822074;85,06817802;93,87036727;35,84568547;4;3924,414917;6,565821255;2,594219093;1,058723408
Finance;PhD;15;1,365478662;2433,181746;31,59496491;96,93573177;50,71864759;52,01406534;77,11768773;8;1000,044606;12,88411999;4,272649739;0,558046337
Finance;High School;14;1,373146269;1889,754908;23,03355128;74,61811518;52,47563149;90,24164086;33,81389725;6;654,2118067;2,868362004;4,361177951;1,196263475
Finance;Master's;24;1,192298289;2670,189626;57,58742118;85,04328496;79,96792936;68,44938063;62,78109124;5;3379,058179;14,2504656;9,938537106;0,552824644
Finance;Master's;7;0,109840885;1033,215614;37,23960299;92,77755617;67,08372869;92,73095129;20,95857778;5;2799,415828;14,82211895;9,953317264;1,317084947
Retail;Master's;25;0,180192352;4826,810025;36,78475807;70,91455555;97,66581861;90,11015044;64,9493195;6;3948,368069;3,15138626;2,033076508;1,324946929
Healthcare;PhD;20;0,415313183;3714,848436;39,91989765;65,47063974;95,15953454;67,43806237;83,06397693;0;3694,02525;5,786542789;7,533719014;0,737077288
Finance;Bachelor's;2;0,283889171;4786,102025;59,76777645;96,83622779;85,68531293;84,69382677;58,68665237;3;3126,057669;6,841208658;1,465709317;0,823662781
Tech;Bachelor's;7;0,658370442;1520,27322;72,23803289;75,78382755;90,90727906;57,98163784;54,7884304;0;4931,910858;12,09308779;1,271728138;0,981310379
Tech;Master's;6;1,391672281;4457,034591;65,54521595;74,86269433;83,36659248;94,81407761;86,88946144;5;2667,948651;9,747048558;1,948005048;1,096662907
Tech;Bachelor's;17;0,760884608;4139,554931;63,65175381;58,92080483;56,27910514;70,22455322;60,19172443;3;565,5287825;10,37675411;9,689370913;0,787353662
Tech;Bachelor's;27;0,118763677;3547,185856;49,06347114;55,40775073;88,27716848;72,78128077;30,76403466;0;4141,367824;11,8476277;9,467771931;1,092486405
Retail;PhD;25;0,495843965;3312,631337;61,62833342;92,10534312;60,50959844;85,28795255;33,39128191;8;1259,266812;3,533726993;2,745350383;0,797787073
Tech;High School;25;0,162432872;1924,473494;53,16574208;80,70665881;66,17214276;91,04201184;66,4245314;3;3886,510741;12,83172294;2,45505102;0,555490721
Finance;Master's;28;0,150802672;4173,848532;32,97503169;66,2912292;90,96171061;61,81713717;68,83492751;5;4785,53548;11,17305745;3,164815779;0,50252755
Education;Master's;2;0,486007794;2756,819577;32,51530206;59,58681087;76,82628042;83,06750699;34,27969854;6;3483,97757;9,505442428;5,639922947;0,601151058
Tech;PhD;3;0,485857274;819,0120915;37,78352041;77,77486401;92,99703571;69,59990219;37,62751823;7;2980,150805;13,56655935;6,127341688;1,2922507
Retail;PhD;5;1,201977244;1907,884224;74,64816026;79,19596446;60,65176599;68,4351462;89,2845207;8;2301,930878;11,1039826;2,994340874;1,461431312
Retail;Bachelor's;5;1,464768514;4708,836943;52,84489042;60,34968006;80,38892193;84,5012912;18,15620397;8;1822,04933;4,622099514;7,809605093;0,926966199
Tech;Master's;1;0,619689931;4328,061173;64,03432262;92,57028739;54,18954863;69,35916371;42,37160228;7;1765,023755;7,586689954;3,785978525;1,012683953
Education;High School;8;0,70044163;4918,575641;40,79352559;54,21321831;82,15304968;67,30542501;14,9958025;9;3181,863529;8,42255727;9,29918193;0,646848169
Tech;PhD;12;1,282705211;3325,970222;44,46294624;67,80465426;88,12670189;91,79442041;75,68626896;2;3756,365585;2,717829148;6,910504358;1,051031353
Retail;High School;24;0,475394628;1613,795329;27,53393472;84,01922069;79,2465447;55,06380619;17,38766712;1;3392,585347;14,41028767;4,927160749;0,644654902
Healthcare;High School;4;0,318934526;1232,667724;30,27769747;63,70601819;63,31157507;83,79463114;63,92058852;4;992,050506;3,67150439;8,109208015;1,111214331
Finance;Master's;13;1,294325473;1341,114983;69,64139329;91,38375974;51,56713344;62,43626969;14,51867392;0;2469,935901;11,06699647;8,361231634;1,433258668
Retail;Master's;23;0,165100821;589,0804626;55,0903179;86,99339133;55,9724442;50,77491209;63,82840302;2;3958,200361;8,581003469;3,61433445;0,695698539
Tech;PhD;15;0,967579216;2258,069499;40,25194795;89,45114223;81,11514895;58,33821344;77,44295575;0;2378,520391;2,333219248;4,057430895;1,264563718
Finance;Master's;11;0,886789986;1361,424562;68,17107254;55,95532679;96,72101084;80,33307649;41,90572215;2;2683,116399;14,02171719;9,423596384;0,523502423
Tech;Master's;10;0,584288627;2352,449572;34,79119434;57,0273564;60,3267202;85,45635957;51,77011947;3;3855,680241;13,07387851;2,482669345;0,875497241
Tech;Master's;3;0,54126533;4707,474943;78,56196192;64,32368689;86,75130746;51,05288918;42,12333904;6;3306,326531;8,815353063;1,379353753;0,610748508
Healthcare;High School;22;1,180600817;2437,430943;40,68905646;75,90385826;93,32255316;51,82127217;34,03910069;4;2046,724604;4,97625037;5,086497903;0,852475442
Finance;PhD;14;0,220994455;4450,930236;40,23865725;87,40080383;76,04410892;95,12710574;74,26107205;4;4477,063556;3,581097579;8,210889102;0,67353692
