Employment_Sector,Education_Level,Years_at_Residence,Income_Fluctuations,Cash_Flow_Stability,Recurring_Expenses,Utility_Payments_On_Time,Rental_History_On_Time,Subscription_Payments,Spending_Patterns,Real_Time_Transactions,E_Commerce_Activity,Local_Job_Market_Stability,Inflation_Impact,Economic_Downturn_Resilience
0.7,1.0,10,18304.83392,0.82351,1572,0.20446,0.79755,473,1988.34183,22,582.17315,0.08127,1.1724,0.44908
0.7,1.0,40,27770.50986,1.48833,3725,0.25531,0.61591,451,3252.48938,28,763.19303,0.17595,1.51743,0.61226
0.9,0.7,32,37370.90037,1.0908,1816,0.29569,0.84328,232,3923.9589,7,580.0817,0.0588,2.7287,0.21309
0.7,0.4,50,16319.86567,1.47685,4645,0.5938,0.09751,202,1164.32458,35,574.88793,0.08487,0.5073,0.93906
0.6,0.1,33,28688.99751,0.65989,4183,0.03281,0.55898,364,775.33221,28,139.44431,0.03233,0.59941,0.00668
0.8,0.7,2,28946.8066,1.48677,3773,0.63604,0.50109,383,3348.90582,14,376.48003,0.15737,2.01018,0.7723
0.8,0.7,33,31993.39067,1.99912,645,0.36435,0.70619,173,109.21143,10,318.30935,0.0935,2.76845,0.6252
0.9,0.1,33,13947.03055,0.57232,3540,0.29524,0.53429,163,974.02566,16,421.19195,0.15666,1.09714,0.37355
0.4,0.7,41,31474.74894,1.96576,1962,0.8795,0.54073,327,242.44976,16,808.42698,0.18265,1.6741,0.05049
0.2,1.0,13,37270.97562,1.11036,2084,0.46,0.4296,463,917.73708,31,403.33603,0.0619,1.62616,0.62749
0.3,1.0,30,15390.49327,1.80613,982,0.09505,0.30883,262,988.46447,42,479.11198,0.16533,1.68243,0.38561
0.9,0.4,33,17126.29975,1.67358,3679,0.82675,0.48226,221,1999.60061,25,427.51232,0.03064,2.0563,0.93627
0.7,0.4,13,39141.85282,1.35052,1749,0.04764,0.11849,337,2071.40291,13,138.73757,0.18179,1.67436,0.54199
0.3,0.1,26,15429.30858,1.60767,1130,0.72675,0.96151,484,4383.88611,6,469.01855,0.13714,1.61867,0.93965
0.4,0.4,22,35631.5528,1.81777,1161,0.77391,0.71441,223,2599.53759,44,235.82881,0.17736,1.68572,0.22048
0.7,1.0,39,24768.33569,1.10621,4003,0.3526,0.95247,162,3644.68335,9,227.38713,0.02003,1.97717,0.72573
0.5,0.1,2,17416.93223,0.99055,3352,0.82479,0.22673,425,610.27305,45,139.3343,0.05043,1.84252,0.61725
0.2,0.1,38,36122.49704,1.50139,2966,0.51566,0.87934,454,1204.6499,36,388.83743,0.09016,2.63534,0.73941
0.6,0.4,39,23359.15765,1.71177,1487,0.46329,0.80879,171,3544.42286,43,769.60779,0.08831,0.62374,0.21467
0.7,1.0,26,25444.52062,1.64343,2046,0.0454,0.67715,81,358.73941,20,312.61961,0.06081,2.58329,0.66499
0.6,0.1,46,20777.00108,1.69672,1149,0.29003,0.62503,271,2484.32854,18,346.73165,0.08869,2.60981,0.49804
0.3,1.0,50,27788.52554,1.15337,1468,0.93101,0.31655,168,3036.90793,43,660.54092,0.04319,1.21227,0.74282
0.6,1.0,15,14905.71618,1.72675,3137,0.39182,0.81641,88,3050.51366,21,236.04877,0.0943,1.65713,0.32704
0.3,1.0,34,21732.4461,0.68031,1600,0.5467,0.50152,317,212.37078,4,902.11003,0.16442,1.59635,0.89006
0.3,0.4,42,39082.36967,1.31673,940,0.53202,0.07089,282,1678.32922,50,544.181,0.10623,1.04627,0.0843
0.3,0.7,44,17744.00298,0.50864,1269,0.59043,0.31286,480,3218.80419,33,475.22279,0.02324,1.49199,0.80719
0.3,0.7,49,29702.09994,0.98688,1843,0.06133,0.9353,67,830.09871,27,579.92918,0.09586,0.61097,0.86132
0.3,0.1,40,19755.70193,1.04969,4858,0.36218,0.85068,198,3507.53668,7,207.7326,0.02489,1.19456,0.81725
0.7,1.0,11,33204.19377,1.09426,4229,0.72313,0.98191,446,3755.03352,6,632.79948,0.19392,2.54171,0.51273
0.3,0.4,3,13926.20982,1.5432,4406,0.20056,0.62799,198,4911.64903,15,394.9457,0.04294,1.21141,0.43838
0.7,1.0,6,39094.63135,1.08284,2077,0.20358,0.24751,175,1128.22577,18,902.32702,0.14738,2.54552,0.99626
0.3,1.0,9,23613.68624,1.17304,4508,0.01009,0.16282,441,4143.14027,32,210.4115,0.1951,1.829,0.22917
0.6,0.4,6,17081.5139,0.85632,3851,0.43748,0.18691,351,2649.45323,11,531.69855,0.16869,2.69966,0.54688
0.5,0.7,9,12204.90242,1.05988,2849,0.88273,0.0198,409,1929.96672,20,618.207,0.14588,1.93695,0.67068
0.3,1.0,39,15092.73715,0.8409,4102,0.0519,0.39068,287,699.64611,24,81.71442,0.1711,0.57417,0.70087
0.4,1.0,31,25593.21846,0.60979,1741,0.19112,0.19143,184,3703.97747,15,395.50847,0.19672,2.18855,0.20402
0.3,0.7,32,20110.09529,1.40517,1625,0.31008,0.41166,200,1255.70224,48,746.00347,0.13184,0.61213,0.65399
0.3,0.4,41,34866.50098,1.50232,3101,0.73172,0.93499,285,1919.96781,7,829.35863,0.12065,1.62649,0.81837
0.6,0.1,50,22926.62571,1.42924,1690,0.64064,0.43054,273,406.45691,21,347.5039,0.13308,2.82357,0.05002
0.2,0.7,12,17461.42818,1.19524,4631,0.41594,0.87798,252,4026.69789,42,808.66361,0.11588,0.91301,0.91152
0.8,0.1,8,28514.3496,1.06968,4948,0.75907,0.6055,305,3856.28377,26,969.36808,0.13432,1.47468,0.0295
0.6,0.1,8,31203.31651,1.795,572,0.60963,0.24713,135,3694.71757,44,864.03024,0.10097,2.32465,0.35597
0.4,0.7,50,15011.25724,1.27862,2414,0.89604,0.35585,199,1567.2732,14,161.76179,0.05932,2.70565,0.01581
0.8,1.0,28,15028.57649,1.21877,2972,0.81803,0.08392,284,950.05236,37,752.74382,0.04164,2.17736,0.07715
0.9,0.1,20,11100.14281,0.53846,3546,0.25281,0.33346,394,3224.011,21,353.68349,0.0323,1.14543,0.91117
0.9,0.1,47,32092.06045,1.01187,1207,0.27144,0.67754,71,2531.21528,18,988.99519,0.0674,2.18652,0.35486
0.2,0.4,7,29914.13583,1.07029,2304,0.12536,0.07211,397,973.43709,5,511.09103,0.0283,1.24182,0.42477
0.4,1.0,11,24238.92627,1.09823,4213,0.33696,0.2054,334,3460.96523,3,166.3122,0.12209,2.29607,0.21534
0.6,0.1,20,35325.11347,1.37026,3064,0.99954,0.38144,318,4956.51952,23,738.92627,0.07109,2.88508,0.5971
0.7,0.4,16,34170.10459,1.3004,2975,0.40575,0.98205,307,3761.37598,26,356.86064,0.16842,2.30348,0.5948
0.4,1.0,4,27560.63093,1.41186,4110,0.22049,0.78486,78,3725.93329,37,997.22425,0.03336,2.6572,0.3722
0.5,0.7,6,36048.13842,1.64732,4755,0.76248,0.73349,262,4756.53249,24,980.79333,0.06074,0.50526,0.33303
0.8,0.7,22,16175.2363,1.71948,3323,0.54247,0.11619,485,1094.3882,49,673.32732,0.15144,2.29393,0.88496
0.8,0.4,26,13357.58858,1.57718,2235,0.1496,0.781,332,2871.19483,19,173.33513,0.12779,2.57397,0.38328
0.3,0.7,3,18092.48835,1.93329,2085,0.38069,0.78527,99,4900.2689,25,702.51795,0.03161,0.6014,0.4935
0.9,0.1,41,11712.60568,0.52735,566,0.41447,0.6011,144,909.94114,21,138.37896,0.1779,2.67899,0.2833
0.2,1.0,42,25935.08584,0.79367,3561,0.75383,0.99036,456,3531.2346,12,77.89595,0.17791,1.14174,0.78677
0.8,0.1,14,38098.17077,0.51134,2928,0.02067,0.32525,137,2970.46972,41,831.81052,0.07947,2.16323,0.39745
0.4,0.1,11,11180.30622,1.47121,4653,0.26902,0.94127,93,2973.74755,33,249.2653,0.08127,2.50089,0.51361
0.8,0.7,18,13663.29742,1.84705,841,0.5176,0.91473,327,3518.58607,50,410.07577,0.19803,2.15666,0.25336
0.2,0.1,12,23565.97085,0.86522,3274,0.26885,0.01148,220,4655.12292,4,974.78452,0.13271,0.73071,0.98766
0.2,0.7,23,38016.25053,1.89055,3317,0.62843,0.45012,470,3934.65151,42,369.99848,0.11564,1.9908,0.2915
0.2,1.0,12,19484.68315,0.5904,3161,0.48187,0.9771,238,375.06691,7,331.66529,0.17087,1.87396,0.77074
